company	dbo:Company
activity	dbo:Activity
name	dbo:Name
person	dbo:Person
actor	dbo:Actor
place	dbo:Place
publisher	dbo:Publisher
genre	dbo:Genre
language	dbo:Language
department	dbo:Department
software	dbo:Software
school	dbo:School
type	dbo:Type
abbey	dbo:Abbey
academic conference	dbo:AcademicConference
academic journal	dbo:AcademicJournal
academic subject	dbo:AcademicSubject
administrative region	dbo:AdministrativeRegion
adult (pornographic) actor	dbo:AdultActor
agent	dbo:Agent
agglomeration	dbo:Agglomeration
aircraft	dbo:Aircraft
airline	dbo:Airline
airport	dbo:Airport
album	dbo:Album
altitude	dbo:Altitude
amateur boxer	dbo:AmateurBoxer
ambassador	dbo:Ambassador
american football coach	dbo:AmericanFootballCoach
american football league	dbo:AmericanFootballLeague
american football player	dbo:AmericanFootballPlayer
american football Team	dbo:AmericanFootballTeam
amphibian	dbo:Amphibian
amusement park attraction	dbo:AmusementParkAttraction
anatomical structure	dbo:AnatomicalStructure
animal	dbo:Animal
animanga character	dbo:AnimangaCharacter
Anime	dbo:Anime
Annotation	dbo:Annotation
arachnid	dbo:Arachnid
archaea	dbo:Archaea
archeologist	dbo:Archeologist
Archer Player	dbo:ArcherPlayer
archipelago	dbo:Archipelago
architect	dbo:Architect
architectural structure	dbo:ArchitecturalStructure
Archive	dbo:Archive
area	dbo:Area
arena	dbo:Arena
aristocrat	dbo:Aristocrat
arrondissement	dbo:Arrondissement
artery	dbo:Artery
article	dbo:Article
ArtificialSatellite	dbo:ArtificialSatellite
artist	dbo:Artist
artist discography	dbo:ArtistDiscography
artistic genre	dbo:ArtisticGenre
artwork	dbo:Artwork
asteroid	dbo:Asteroid
astronaut	dbo:Astronaut
athlete	dbo:Athlete
athletics	dbo:Athletics
athletics player	dbo:AthleticsPlayer
atoll	dbo:Atoll
attack	dbo:Attack
australian football league	dbo:AustralianFootballLeague
australian football Team	dbo:AustralianFootballTeam
Australian rules football player	dbo:AustralianRulesFootballPlayer
auto racing league	dbo:AutoRacingLeague
automobile	dbo:Automobile
automobile engine	dbo:AutomobileEngine
award	dbo:Award
back scene	dbo:BackScene
bacteria	dbo:Bacteria
badminton player	dbo:BadmintonPlayer
Band	dbo:Band
bank	dbo:Bank
baronet	dbo:Baronet
baseball league	dbo:BaseballLeague
baseball player	dbo:BaseballPlayer
baseball season	dbo:BaseballSeason
baseball team	dbo:BaseballTeam
basketball league	dbo:BasketballLeague
basketball player	dbo:BasketballPlayer
basketball team	dbo:BasketballTeam
bay	dbo:Bay
beach	dbo:Beach
beach volleyball player	dbo:BeachVolleyballPlayer
beauty queen	dbo:BeautyQueen
beer	dbo:Beer
beverage	dbo:Beverage
Biathlete	dbo:Biathlete
Biological database	dbo:BiologicalDatabase
biologist	dbo:Biologist
Biomolecule	dbo:Biomolecule
bird	dbo:Bird
birth	dbo:Birth
Blazon	dbo:Blazon
blood vessel	dbo:BloodVessel
board game	dbo:BoardGame
BobsleighAthlete	dbo:BobsleighAthlete
body of water	dbo:BodyOfWater
bodybuilder	dbo:Bodybuilder
bone	dbo:Bone
book	dbo:Book
bowling league	dbo:BowlingLeague
boxer	dbo:Boxer
boxing	dbo:Boxing
boxing category	dbo:BoxingCategory
boxing league	dbo:BoxingLeague
boxing style	dbo:BoxingStyle
brain	dbo:Brain
brewery	dbo:Brewery
bridge	dbo:Bridge
British royalty	dbo:BritishRoyalty
broadcast network	dbo:BroadcastNetwork
